Mouse,Species,K,Sigma
1,Prevotella sp. Smarlab 121567,0.24159530382685102,0.005914321689352575
1,Parabacteroides distasonis,0.13716537541952878,0.008321572029505217
1,Barnesiella intestinihominis,0.187986050620073,0.006231341344451399
1,Barnesiella viscericola,0.1888629431238691,0.002507080905461534
1,Lactobacillus taiwanensis,0.5588724251901649,0.0017049297592787171
1,Lactobacillus reuteri,0.49962632164221166,0.0018747928486174958
1,Tannerella forsythia,0.16134245788322765,0.012188051211617784
1,Rikenella microfusus,0.22286006407677128,0.0023900525876639073
1,Bacteroides acidifaciens,0.2809142830558704,0.0002880879037221312
1,Tannerella oral taxon 808,0.18971636469719844,0.0018855199215242063
1,Nubsella zeaxanthinifaciens,0.2515529085084527,0.00015417887323443402
2,Prevotella sp. Smarlab 121567,0.3256943581265528,0.011199987333311207
2,Lactobacillus taiwanensis,0.4206774527215629,0.0012851659029075035
2,Lactobacillus reuteri,0.3892470511644497,0.009525399631911874
2,Parabacteroides distasonis,0.27031436400636455,0.004113811009476054
2,Barnesiella intestinihominis,0.2676109291887139,0.008266874914942074
2,Barnesiella viscericola,0.25597465189035873,0.0035097690659722236
2,Lactobacillus murinus,0.4222926531623967,0.002102530419430204
2,Lactobacillus intestinalis,0.4909862075425204,0.003089195123770927
2,Bacteroides acidifaciens,0.34391915890325286,0.0015107101367825004
2,Tannerella forsythia,0.2061605029098681,0.0089371129645337
2,Rikenella microfusus,0.27945470290877417,0.006296273975283623
3,Prevotella sp. Smarlab 121567,0.28878592302434924,0.004792660351583489
3,Lactobacillus taiwanensis,0.3332050449659212,0.0018021253477785992
3,Lactobacillus murinus,0.5087464851022849,0.0009698519464695354
3,Parabacteroides distasonis,0.23210196294542484,0.03342345283312115
3,Barnesiella intestinihominis,0.22778315800009707,0.003480238955173215
3,Coprobacter fastidiosus,0.5549357964617307,0.0017084594296250533
3,Lactobacillus intestinalis,0.3778696101480401,0.0009621877529939482
3,Barnesiella viscericola,0.22315239244024987,0.021021460086071336
3,Lactobacillus reuteri,0.3343275225842035,0.00021787086407248912
3,Lactobacillus sp. ls79,0.39280507707069656,0.0012875193204895108
3,Allobaculum sp. GK12,0.6099247461016999,0.0010620509909304021
4,Prevotella sp. Smarlab 121567,0.2078428111796411,0.00612126235238758
4,Lactobacillus taiwanensis,0.2361651622957459,0.00032604198403021756
4,Parabacteroides distasonis,0.1520284352744543,0.00642908064880747
4,Lactobacillus intestinalis,0.3211559384911844,0.0036152127324448613
4,Lactobacillus reuteri,0.2604336234026139,0.004590011510764547
4,Barnesiella intestinihominis,0.1482501175915223,0.013747510136716407
4,Barnesiella viscericola,0.14559665685652146,0.014547222832225953
4,Lactobacillus sp. ls79,0.452319212166306,0.0059776108102471415
4,Coprobacter fastidiosus,0.5811385349961036,0.003442885513927879
4,Lactobacillus murinus,0.4021927350045562,0.0008785883557023838
4,Bacteroides acidifaciens,0.31694424071675353,0.00371534323877587
